	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	occupancy_lfc	logBaseMean
YAL005C	1921.88864747	-1.51156999524	0.259381406902	-5.82759579142	5.6231574149e-09	4.50040031773e-07	-1.51156999524	3.28372822142
YAL022C	40.1464871805	-1.34651729744	0.412994071979	-3.26037923737	0.00111263336424	0.0175006388983	-1.34651729744	1.60364755049
YAL025C	86.8082464481	1.09067478017	0.342104382403	3.18813448838	0.00143193918811	0.021421096515	1.09067478017	1.93856098343
YAL038W	15917.1678479	-0.623784618657	0.235673225403	-2.64682005175	0.00812525770431	0.0769575690258	-0.623784618657	4.20186579597
YAL040C	68.6444744892	2.24269967151	0.403738530889	5.55483190216	2.77879043037e-08	2.00870504716e-06	2.24269967151	1.83660558461
YAL044C	110.144586366	-1.73440023479	0.323888950239	-5.35492252363	8.55930845126e-08	5.48023989106e-06	-1.73440023479	2.04196315633
YAL049C	57.5148899586	1.05282682294	0.380142084872	2.76956134256	0.00561318332427	0.0593711593021	1.05282682294	1.75978029321
YAL061W	17.1787226228	-2.56379391455	0.560919763867	-4.570696345	4.86106226986e-06	0.000197820517117	-2.56379391455	1.23499086738
YAR015W	122.984477097	1.50526261982	0.364212470645	4.13292443598	3.58176508951e-05	0.00107497724749	1.50526261982	2.08985029895
YBL001C	47.3218503824	-1.83334479003	0.421999433759	-4.34442476309	1.39641090837e-05	0.000482414761294	-1.83334479003	1.6750617181
YBL003C	313.74063661	-1.53996545237	0.523094683538	-2.9439516417	0.00324050628326	0.0390977667643	-1.53996545237	2.49657077344
YBL050W	54.1049274961	-1.11413607089	0.428591629566	-2.59952830161	0.00933519803738	0.0842624454426	-1.11413607089	1.73323681939
YBL054W	32.0081821171	1.31348255455	0.47177582306	2.78412434539	0.0053672453427	0.0579180047992	1.31348255455	1.50526100939
YBL064C	69.4520012909	0.985179807101	0.360040240354	2.73630471453	0.00621334616123	0.063753180056	0.985179807101	1.84168476465
YBR008C	10.8190375771	2.02665663691	0.615983022198	3.29011768812	0.00100145487473	0.0163971502984	2.02665663691	1.0341886292
YBR010W	520.973955166	-1.22235126107	0.325061361772	-3.76037082479	0.000169661667409	0.00403324419257	-1.22235126107	2.71681601234
YBR022W	7.55321241749	-1.61598632508	0.628942699085	-2.56936971751	0.0101883693774	0.0901004599449	-1.61598632508	0.878131698446
YBR026C	37.4818192817	-2.28188683134	0.44881923977	-5.08420011697	3.6917854534e-07	2.03769583301e-05	-2.28188683134	1.57382066239
YBR034C	135.352062565	0.95367989993	0.303993849899	3.13716840076	0.00170588116487	0.0241313627339	0.95367989993	2.13146487816
YBR035C	67.162245702	-1.14277768164	0.358709369935	-3.18580382177	0.00144352445423	0.0214606948273	-1.14277768164	1.8271252092
YBR046C	25.0609220162	-2.11986462983	0.491913128425	-4.30942885509	1.63676701248e-05	0.000553503886895	-2.11986462983	1.39899704508
YBR052C	31.1760964499	-2.52634441746	0.469910034642	-5.3762299828	7.60616257898e-08	4.93697001267e-06	-2.52634441746	1.49382173637
YBR054W	38.7278715886	-3.27795088643	0.475233971822	-6.89755169197	5.29063948944e-12	7.25875737951e-10	-3.27795088643	1.58802362963
YBR056W	43.3925555991	-1.08419822314	0.411056103314	-2.63759183819	0.00834970131641	0.0780063535436	-1.08419822314	1.6374152286
YBR061C	44.0904648174	1.09448527512	0.411503848962	2.65972062687	0.00782054909069	0.0748416376097	1.09448527512	1.64434467734
YBR066C	14.3164146435	-1.62541356849	0.561434466478	-2.89510827272	0.00379027772729	0.0440838745752	-1.62541356849	1.15583426829
YBR067C	212.955078009	-2.42011361685	0.355031408806	-6.81661835214	9.32084440154e-12	1.20969445449e-09	-2.42011361685	2.32828800048
YBR072W	7.73313624767	-2.09438005651	0.640628306308	-3.2692593129	0.0010782943113	0.017202555757	-2.09438005651	0.888355661942
YBR083W	7.45723918511	2.08606653293	0.644563648591	3.23640114904	0.00121047143204	0.0185158358247	2.08606653293	0.87257807297
YBR084W	292.95042718	0.722409989175	0.261621909172	2.76127481625	0.00575762058457	0.0601045522763	0.722409989175	2.46679413563
YBR085C-A	47.2451263198	-1.82674778308	0.414002627556	-4.41240625419	1.02228062733e-05	0.000371371707679	-1.82674778308	1.67435701451
YBR085W	15.6629823868	1.44035786399	0.556287099668	2.58923470425	0.00961895089008	0.0860152740673	1.44035786399	1.19487445956
YBR092C	85.0240040778	-2.45280638369	0.650563965678	-3.77027704129	0.000163066427678	0.00389574619755	-2.45280638369	1.92954155356
YBR093C	366.969934057	-1.46796340644	0.269324502537	-5.45053789244	5.02177012208e-08	3.49486088786e-06	-1.46796340644	2.56463048385
YBR104W	26.067492487	1.65320621963	0.505962544769	3.26744783132	0.00108521865157	0.0172545720898	1.65320621963	1.41609925704
YBR115C	59.6298203348	-1.74867386519	0.389391586498	-4.49078492146	7.0961179763e-06	0.000272604468177	-1.74867386519	1.77546350081
YBR126C	143.045133986	-1.26589188875	0.327265504027	-3.86808836608	0.000109691916565	0.00268745195584	-1.26589188875	2.15547308885
YBR127C	796.299736356	-0.634825849859	0.238631965221	-2.66027164161	0.00780776526738	0.0748416376097	-0.634825849859	2.90107657194
YBR132C	18.449976769	-3.534883163	0.591929663551	-5.97179594243	2.34655923005e-09	2.16695719667e-07	-3.534883163	1.26599582366
YBR139W	65.8840820304	-1.32876634243	0.364170638034	-3.64874650412	0.000263522972014	0.00577825256444	-1.32876634243	1.81878049925
YBR142W	86.4986188442	1.05563977501	0.341054564177	3.09522254177	0.00196665277777	0.0271844564749	1.05563977501	1.93700917298
YBR162C	452.109400319	-1.23925519427	0.296663992967	-4.17730234759	2.94986802618e-05	0.000908029888573	-1.23925519427	2.65524353704
YBR172C	58.7271189873	1.05188036131	0.380248035441	2.76630058086	0.0056696249421	0.0595930409135	1.05188036131	1.76883869591
YBR177C	77.5289257097	-1.64018293166	0.346013442766	-4.74022893027	2.13476878352e-06	9.95258223152e-05	-1.64018293166	1.88946376615
YBR196C	3180.93030966	-0.821176569888	0.251915868613	-3.2597254568	0.00111520106266	0.0175006388983	-0.821176569888	3.50255415434
YBR208C	15.3655258862	-2.34314909076	0.573780361491	-4.08370388396	4.43235052372e-05	0.0012669135247	-2.34314909076	1.18654742861
YBR221C	346.412763777	-0.78211203684	0.259828426158	-3.0101095881	0.00261153445232	0.0333526288299	-0.78211203684	2.53959388547
YBR222C	70.0276431933	-1.08450064615	0.358299599845	-3.02679837381	0.00247158758766	0.0326059439448	-1.08450064615	1.84526951025
YBR230C	19.6840123308	-1.4291284361	0.520765622599	-2.74428336681	0.00606431655485	0.0624910903356	-1.4291284361	1.29411362842
YBR241C	12.7040717753	-1.73723286346	0.587023123163	-2.9593942639	0.00308244460762	0.03747316204	-1.73723286346	1.10394293876
YBR244W	121.581063543	1.6424029718	0.325144141165	5.05130729379	4.38796483731e-07	2.34122301653e-05	1.6424029718	2.0848659381
YBR247C	86.3490653229	1.11295085043	0.352803432186	3.15459190272	0.00160722749099	0.0233169377999	1.11295085043	1.93625764095
YBR267W	55.2828890799	1.5089721265	0.394850380175	3.82163017251	0.000132572403556	0.00320839257846	1.5089721265	1.74259073116
YBR286W	777.613741719	-0.633820148724	0.240861408038	-2.63147240517	0.00850157708781	0.0789643581734	-0.633820148724	2.89076392669
YBR296C	18.3196627115	-1.861151642	0.539032717993	-3.45276191941	0.000554878500511	0.0100929036343	-1.861151642	1.26291747349
