	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expression_lfc	logBaseMean
YAL003W	7558.80800222	0.517268676893	0.170894729404	3.02682639013	0.00247135853443	0.00858970907491	0.517268676893	3.87845331417
YAL005C	1938.30015056	-0.731109114932	0.184544248197	-3.96170090412	7.44177265247e-05	0.00041103314071	-0.731109114932	3.2874210295
YAL008W	71.3543239603	-1.18161960656	0.379050794709	-3.11731204116	0.00182508283798	0.00662735491467	-1.18161960656	1.85342029581
YAL011W	190.848096679	1.09182056571	0.305492331066	3.5739704558	0.000351608620537	0.00161294891244	1.09182056571	2.2806878331
YAL019W	302.591384114	1.20924329451	0.226563306162	5.33733072223	9.43248960244e-08	1.01134148873e-06	1.20924329451	2.48085655791
YAL021C	374.001159831	1.24877046192	0.219432461828	5.69091032167	1.26363864925e-08	1.66322995093e-07	1.24877046192	2.57287294901
YAL022C	375.745823434	-1.21835909033	0.220832400378	-5.51712107574	3.44598035441e-08	4.20007829744e-07	-1.21835909033	2.57489416193
YAL023C	1613.13636912	0.604339459522	0.181089958316	3.3372334123	0.000846168535809	0.00343266579154	0.604339459522	3.20767108274
YAL024C	185.048706567	0.858013661526	0.255832827817	3.35380595543	0.000797082387549	0.00325784951783	0.858013661526	2.26728605386
YAL025C	360.820977985	1.31949990915	0.231636427179	5.69642661657	1.22344514774e-08	1.61816248738e-07	1.31949990915	2.55729177931
YAL027W	148.921161668	0.683383269581	0.315864534131	2.16353276718	0.0305002263126	0.0722436733051	0.683383269581	2.1729564153
YAL029C	472.230337218	0.715182706254	0.204071733664	3.50456524974	0.000457353476899	0.00201309595176	0.715182706254	2.67415388377
YAL031C	225.347397492	-0.768644798631	0.256676293299	-2.99460767783	0.00274798042724	0.00943056919348	-0.768644798631	2.35285254683
YAL035W	2714.70079692	1.60870727832	0.520685950732	3.0895922505	0.00200431451539	0.0072012251855	1.60870727832	3.43372197042
YAL037W	30.9899320022	-1.13793555606	0.499620561146	-2.27759953164	0.0227504484368	0.0566002003215	-1.13793555606	1.49122062332
YAL040C	617.158684206	2.50174847913	0.206137761043	12.1362940321	6.78291623989e-34	1.4748773072e-31	2.50174847913	2.79039684445
YAL044C	406.190148801	-1.20439212064	0.214114949764	-5.62497911506	1.85530419939e-08	2.37060026244e-07	-1.20439212064	2.60872938639
YAL049C	422.998098655	0.955454270994	0.219249229047	4.35784552195	1.3134903642e-05	8.73333972552e-05	0.955454270994	2.62633841526
YAL054C	43.6910614629	-3.212719817	0.494689173799	-6.49442111765	8.33532896348e-11	1.57877520019e-09	-3.212719817	1.64039259591
YAL059W	190.642872519	1.36702520602	0.29799543311	4.5874032087	4.48793386096e-06	3.34197376276e-05	1.36702520602	2.28022057314
YAL061W	260.293545353	-4.56009271722	0.335570330478	-13.5890819392	4.64874861177e-42	2.10588312113e-39	-4.56009271722	2.4154633988
YAL067C	60.6488123883	1.03884531697	0.3674772622	2.82696488688	0.00469914802453	0.0149208929097	1.03884531697	1.78282230103
YAR007C	404.903319582	0.564902117134	0.21430432914	2.63598089409	0.0083894455117	0.0245320203344	0.564902117134	2.60735133733
YAR015W	1366.22719567	2.44541516621	0.198715277382	12.3061256207	8.39577178984e-35	1.9016423104e-32	2.44541516621	3.13552292601
YAR035W	32.9716679526	-1.00618032596	0.461774903771	-2.17894111989	0.0293360425559	0.0701278484318	-1.00618032596	1.51814091755
YBL001C	101.151969439	-1.28158933152	0.319811650717	-4.00732533868	6.14102444727e-05	0.000349710868725	-1.28158933152	2.00497434295
YBL003C	1354.82368645	-0.564791586359	0.262519816678	-2.15142458008	0.0314427028087	0.0741529425023	-0.564791586359	3.13188278083
YBL004W	602.812136984	1.37257489405	0.239318711738	5.73534298291	9.73152110603e-09	1.31266870304e-07	1.37257489405	2.78018198779
YBL005W	322.555180675	-1.19227408356	0.225535784992	-5.28640758097	1.247417924e-07	1.30152856715e-06	-1.19227408356	2.50860402165
YBL014C	351.633363551	1.02494637994	0.229707934568	4.46195462019	8.12154275498e-06	5.67464092751e-05	1.02494637994	2.54609007493
YBL017C	582.424820165	0.7162046134	0.223609455952	3.20292632684	0.00136038778037	0.00513903264358	0.7162046134	2.76523987426
