	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	efficiency_lfc	logBaseMean
YAL021C	207.44403838	-0.990603833674	0.34952888672	8.01421903101	0.00464114841666	0.0827701097145	-0.990603833674	2.31690095839
YAL023C	810.805017437	-1.06116946988	0.271169554755	15.2375722977	9.47984964299e-05	0.00592327157004	-1.06116946988	2.90891642754
YAL035W	1211.12516206	-1.50883425822	0.495704239439	9.1695077911	0.00246080744455	0.0557628860398	-1.50883425822	3.08318902703
YAL062W	39.9011930552	2.1569777421	0.753590839992	9.18651274891	0.00243804948155	0.0556858696711	2.1569777421	1.60098588139
YBL005W	77.4823138647	1.4962432122	0.513561052099	8.81686499775	0.00298459000597	0.063129304562	1.4962432122	1.88920258163
YBL017C	337.899700441	-1.15037917154	0.337561098604	11.570169242	0.000670183182354	0.0222141206053	-1.15037917154	2.52878780676
YBL042C	166.54184684	-1.48021214152	0.356371552369	17.2741057551	3.23566310605e-05	0.0024094609102	-1.48021214152	2.22152337639
YBL076C	2059.45558931	-1.08488593608	0.310637548226	12.1403862279	0.000493415566157	0.0176727981272	-1.08488593608	3.31375243114
YBL101C	85.2345811038	-1.70803213679	0.496973280997	11.6596654151	0.000638698269444	0.0214318752636	-1.70803213679	1.9306158311
YBR008C	75.120134406	3.18154121396	0.919832256256	18.5330028268	1.66987678142e-05	0.00139653079751	3.18154121396	1.8757563563
YBR018C	10.6142240491	4.95071924498	1.70705550222	9.77138097651	0.0017724926847	0.0428234232623	4.95071924498	1.02588825064
YBR022W	28.1805508255	-2.38236075349	0.840918519456	8.8062037556	0.00300208010932	0.0632531297452	-2.38236075349	1.44994947771
YBR033W	28.7717751375	-4.38108784499	1.5860565885	10.075647532	0.00150241812909	0.0379867206965	-4.38108784499	1.45896665746
YBR036C	346.290720889	-0.954233418076	0.299947169139	10.0473173463	0.00152569956754	0.0383611268795	-0.954233418076	2.53944085447
YBR072W	20.0604063434	-3.27884189384	1.09410380168	10.8690769018	0.000977832561365	0.0287109663014	-3.27884189384	1.30233972584
YBR083W	29.887766882	4.56465129389	1.42176171058	18.7397938839	1.49823057592e-05	0.00128265220832	4.56465129389	1.47549346716
YBR084W	706.228805437	-0.865646458997	0.275398319423	9.85702604771	0.00169184374271	0.0413860003932	-0.865646458997	2.84894542745
YBR088C	296.035473464	-1.07848878377	0.364999525005	8.6905556919	0.00319863090469	0.0659232738104	-1.07848878377	2.471343755
YBR092C	203.141477161	-2.98794626781	0.642148138711	29.6462886073	5.18518123722e-08	1.12746580822e-05	-2.98794626781	2.30779860614
YBR121C	1527.74421258	-0.916411893976	0.254377603397	12.9382719925	0.000321932044344	0.0128678131842	-0.916411893976	3.1840506472
YBR127C	1491.22990213	-1.03795588976	0.271855277393	14.5051063506	0.000139780132269	0.00737713397099	-1.03795588976	3.17354460357
YBR132C	44.0654434525	-4.36614254752	1.15115547179	23.4636895559	1.27293697288e-06	0.000164754413919	-4.36614254752	1.644098145
YBR148W	11.4849919417	-4.33269042466	1.67518650813	8.60159337747	0.00335869021547	0.0678730111945	-4.33269042466	1.06013069481
YBR162C	907.544635766	-1.65808166253	0.373180690866	19.479886417	1.01664582624e-05	0.000905981428106	-1.65808166253	2.95786799414
YBR165W	54.3280172017	1.65831478999	0.608095023004	7.65090348831	0.00567438954584	0.096268752616	1.65831478999	1.73502385497
YBR196C	5847.45502553	-1.10672968991	0.313497055292	12.38960936	0.000431729565589	0.0162049760703	-1.10672968991	3.76696689021
YBR203W	22.9833757238	2.54041150519	0.777817875444	11.5718089969	0.00066959244369	0.0222141206053	2.54041150519	1.3614138168
YBR208C	50.6845234463	-2.4178869785	0.667917027561	14.80040489	0.000119509839832	0.0066974792714	-2.4178869785	1.70487536746
YBR214W	112.994839184	1.58731592563	0.478393789197	10.992852397	0.000914639353072	0.0278392687132	1.58731592563	2.05305860839
YCL004W	41.4644915214	2.12022989133	0.690067112778	10.6460461496	0.00110306468989	0.0305931615013	2.12022989133	1.617676344
YCL005W-A	32.1319452841	-2.68289822465	0.789739902606	11.5297780661	0.000684901900169	0.0222941720318	-2.68289822465	1.50693701875
YCL037C	424.415567491	-2.04353571596	0.334013154235	36.9590656458	1.20635481414e-09	4.09859048105e-07	-2.04353571596	2.62779130537
YCL040W	601.571807676	1.78121709711	0.500628626734	12.4721222638	0.000413070521649	0.0157024570327	1.78121709711	2.77928747509
YCL064C	559.538586235	-1.31335329796	0.428733077227	10.1858312441	0.00141523907441	0.0366344743262	-1.31335329796	2.7478300412
YCR005C	1433.3251629	-2.02690844393	0.382450952415	28.1135573402	1.14401647655e-07	2.22102627376e-05	-2.02690844393	3.15634472524
YCR011C	286.88021448	-1.18809598341	0.327549316374	13.1172789782	0.000292584675102	0.0121411472813	-1.18809598341	2.45770059691
YCR012W	22272.780751	-1.18808763416	0.338743142602	12.2155574786	0.000473926472207	0.0174071912359	-1.18808763416	4.34777444197
YCR017C	353.26201538	-0.832591795641	0.296684455748	7.85495802187	0.00506815290927	0.0883028179961	-0.832591795641	2.54809694228
YCR021C	25.0702555459	-2.9838072105	1.19544082793	8.4413067409	0.00366792586894	0.0723444097184	-2.9838072105	1.39915876083
YCR024C-B	17.3070532534	10.5535579563	2.56533114735	10.2138752271	0.0013938797669	0.0364285116004	10.5535579563	1.23822312999
YCR037C	205.512827145	2.12763916522	0.427340940559	26.0994500878	3.24276359163e-07	5.03647510975e-05	2.12763916522	2.31283893368
YCR065W	93.7893763269	-1.24869613514	0.44299328352	7.94766512591	0.00481494569866	0.0849806649933	-1.24869613514	1.97215364793
YCR069W	141.370664537	-1.12167598536	0.376600641298	8.83012463539	0.00296298149427	0.0629170601674	-1.12167598536	2.15035929948
YCR073C	50.5206102399	3.38070581779	0.732919072658	27.2941810452	1.74736471183e-07	3.27540502535e-05	3.38070581779	1.70346858777
YCR098C	19.5391627019	-4.3916157304	1.68192138242	7.56227056223	0.00596028521274	0.0993185649621	-4.3916157304	1.29090594926
YDL020C	191.037085882	1.44442100498	0.379175206054	14.8618164828	0.000115681077418	0.0066193930194	1.44442100498	2.28111768469
YDL054C	58.3409193344	-1.88329336729	0.550822456224	12.1897101727	0.000480538487807	0.0174760807551	-1.88329336729	1.76597326844
YDL055C	2973.01355833	-1.36297572253	0.293476594083	21.3775768231	3.77156496516e-06	0.000418412798992	-1.36297572253	3.47319688979
YDL066W	648.182344264	-1.33019502956	0.311604613494	18.1288934861	2.06444976393e-05	0.00165034542893	-1.33019502956	2.81169719718
YDL112W	230.917864191	-2.08329434578	0.35494916773	34.0510743091	5.3684260342e-09	1.62126466233e-06	-2.08329434578	2.36345753196
YDL126C	1780.18260876	-1.2086807898	0.316122262626	14.5184377653	0.000138794452726	0.00737713397099	-1.2086807898	3.25046455394
YDL128W	147.170629407	-1.10942924418	0.362666670405	9.33397742433	0.00224943579132	0.051813275261	-1.10942924418	2.16782114723
YDL148C	230.400313614	-1.09924490765	0.381651421784	8.30046711706	0.00396348827649	0.0755983237578	-1.09924490765	2.3624830659
YDL160C	284.330908156	-1.4704627334	0.308837489231	22.5630167979	2.0336193508e-06	0.000246887267795	-1.4704627334	2.45382407218
YDL171C	665.824632	-1.63082379544	0.446449247101	13.1903737626	0.000281390771499	0.0119503143271	-1.63082379544	2.82335985772
YDL185W	2286.88908423	-1.87591493806	0.297917029212	39.0217747304	4.1910480903e-10	1.75250287837e-07	-1.87591493806	3.35924510152
YDL192W	623.069942381	-1.26996486625	0.285858868459	19.6647781382	9.22868048237e-06	0.000850289950884	-1.26996486625	2.79453680089
YDL197C	46.7956709326	3.23138879735	1.00445265689	13.6505667031	0.000220174858447	0.0102887261427	3.23138879735	1.67020567835
YDL231C	134.53984679	5.36400030524	1.36435694483	40.0003010063	2.53923726901e-10	1.25484489039e-07	5.36400030524	2.12885092878
YDR019C	158.581494325	-1.22211293195	0.420993349964	8.55496293211	0.00344581519012	0.0691197467656	-1.22211293195	2.20025250592
YDR028C	213.171517227	-1.1763951794	0.337698390002	12.1253378377	0.000497413192321	0.0176727981272	-1.1763951794	2.32872917626
YDR046C	359.572494514	-1.66231366427	0.322791418864	26.1788493813	3.11212618295e-07	4.97574056779e-05	-1.66231366427	2.55578646299
YDR074W	391.244314756	1.16914231496	0.313594313118	13.8643831357	0.00019648708719	0.00945224607047	1.16914231496	2.59244803979
YDR097C	105.696255583	-1.52488663432	0.389236406251	15.2081099235	9.62890119275e-05	0.00594803487316	-1.52488663432	2.02405960217
YDR127W	829.828301867	-0.895560602931	0.310046011773	8.31999493158	0.00392110294	0.0750532238798	-0.895560602931	2.91898824266
YDR170C	411.63805507	-1.15280180908	0.347872003787	10.9482130612	0.000936939303612	0.0281392378698	-1.15280180908	2.61451551756
YDR171W	90.6826061559	1.3116500788	0.469236855112	7.7564979985	0.00535196326876	0.0917768843185	1.3116500788	1.95752399296
