	expression_lfc	efficiency_lfc	d_expression	d_efficiency
YAL001C	0.133499230204	-0.660486417347	Increase	Decrease
YAL002W	-0.337477130554	0.367534103477	Decrease	Increase
YAL003W	0.517268676893	-0.373893967774	Increase	Decrease
YAL005C	-0.731109114932	-0.808701388657	Decrease	Decrease
YAL007C	0.0394032231301	-0.362617083996	Increase	Decrease
YAL008W	-1.18161960656	-0.260800207909	Decrease	Decrease
YAL009W	-0.188026055579	0.582119883308	Decrease	Increase
YAL010C	0.151540948825	1.07928010542	Increase	Increase
YAL011W	1.09182056571	-1.10080316262	Increase	Decrease
YAL013W	-0.140971850282	-0.334389595685	Decrease	Decrease
YAL014C	0.199566529805	0.998553109946	Increase	Increase
YAL015C	-0.522060863429	0.666014337971	Decrease	Increase
YAL016C-A	-0.722932001415	0.45714348773	Decrease	Increase
YAL016C-B	-0.282338639899	2.54034554088	Decrease	Increase
YAL016W	-0.0934420235799	0.270403136867	Decrease	Increase
YAL017W	-0.0436262813582	-0.691961163176	Decrease	Decrease
YAL018C	0.258114295419	-1.44079075653	Increase	Decrease
YAL019W	1.20924329451	-0.556736141817	Increase	Decrease
YAL020C	-0.0655497563359	0.585806757885	Decrease	Increase
YAL021C	1.24877046192	-0.990603833674	Increase	Decrease
YAL022C	-1.21835909033	-0.243652967964	Decrease	Decrease
YAL023C	0.604339459522	-1.06116946988	Increase	Decrease
YAL024C	0.858013661526	0.0295228396968	Increase	Increase
YAL025C	1.31949990915	-0.16967737788	Increase	Decrease
YAL026C	0.101269018834	-0.0967998233563	Increase	Decrease
YAL027W	0.683383269581	-0.684470696222	Increase	Decrease
YAL028W	-0.161531550948	-1.3609661286	Decrease	Decrease
YAL029C	0.715182706254	-0.625318080455	Increase	Decrease
YAL030W	-0.32453681575	-0.261717561034	Decrease	Decrease
YAL031C	-0.768644798631	0.325619601487	Decrease	Increase
YAL032C	0.442499509341	0.419176409606	Increase	Increase
YAL033W	0.489092672041	-0.431306778006	Increase	Decrease
YAL034C	0.385107714956	-1.29090802284	Increase	Decrease
YAL034C-B	-0.848879399991	5.95767975948	Decrease	Increase
YAL034W-A	-0.186863319052	-1.07242967505	Decrease	Decrease
YAL035W	1.60870727832	-1.50883425822	Increase	Decrease
YAL036C	0.194709217814	-0.0649677406511	Increase	Decrease
YAL037W	-1.13793555606	0.398940687284	Decrease	Increase
YAL038W	-0.222621919527	-0.398733948249	Decrease	Decrease
YAL039C	-0.166795854526	0.982047315565	Decrease	Increase
YAL040C	2.50174847913	-0.0643010982971	Increase	Decrease
YAL041W	0.390908344851	0.119879902531	Increase	Increase
YAL042W	-0.170592986762	-0.247159522503	Decrease	Decrease
YAL043C	0.375397879881	-0.137677849555	Increase	Decrease
YAL044C	-1.20439212064	-0.594468844738	Decrease	Decrease
YAL044W-A	-0.850558001401	0.221259019015	Decrease	Increase
YAL046C	-0.331961989685	-0.31231787157	Decrease	Decrease
YAL047C	-0.208812853526	-0.392723096652	Decrease	Decrease
YAL048C	0.313223054813	-0.596310007229	Increase	Decrease
YAL049C	0.955454270994	0.198594598632	Increase	Increase
YAL051W	0.278897818435	-0.278902945549	Increase	Decrease
YAL053W	0.116951915537	-0.216956764547	Increase	Decrease
YAL054C	-3.212719817	0.69323659649	Decrease	Increase
YAL055W	-0.889406821825	0.911481863239	Decrease	Increase
YAL058W	0.281806712062	-0.116591972609	Increase	Decrease
YAL059W	1.36702520602	-0.308533386546	Increase	Decrease
YAL060W	-0.243708631409	0.119057315008	Decrease	Increase
YAL061W	-4.56009271722	1.50813028002	Decrease	Increase
YAL062W	-0.429266319744	2.1569777421	Decrease	Increase
YAL064C-A	0.32664023347	-0.141068857399	Increase	Decrease
YAL067C	1.03884531697	1.18009656048	Increase	Increase
YAL067W-A			No change	No change
YAL069W	0.0430677639798	0.768521531021	Increase	Increase
YAR002C-A	0.215926173907	-0.561763196939	Increase	Decrease
YAR002W	0.242936585374	0.128253134144	Increase	Increase
YAR003W	0.133845039647	0.454491594827	Increase	Increase
YAR007C	0.564902117134	-0.631861638292	Increase	Decrease
YAR008W	0.60604548855	-0.296570222672	Increase	Decrease
YAR014C	0.0832880054172	-0.416698861184	Increase	Decrease
YAR015W	2.44541516621	-0.831592417197	Increase	Decrease
YAR018C	-0.0163057399738	1.38144207171	Decrease	Increase
YAR019C	-0.127499189463	1.33130507573	Decrease	Increase
YAR019W-A	-0.263979566501	1.43087794904	Decrease	Increase
YAR035W	-1.00618032596	-0.0949365084253	Decrease	Decrease
YAR047C	0.0384272858896	2.54041667128	Increase	Increase
YAR064W	-0.563995553343	3.55217968209	Decrease	Increase
YBL001C	-1.28158933152	-0.673530995797	Decrease	Decrease
YBL003C	-0.564791586359	-1.32129470941	Decrease	Decrease
YBL004W	1.37257489405	-0.810274085901	Increase	Decrease
YBL005W	-1.19227408356	1.4962432122	Decrease	Increase
YBL006C	0.0706882252293	-0.0451222149983	Increase	Decrease
YBL007C	0.342735534579	-0.725906667015	Increase	Decrease
YBL008W	0.116111407149	-0.856409142755	Increase	Decrease
YBL009W	0.202366823379	0.980504147328	Increase	Increase
YBL010C	0.102360326528	-0.134153439005	Increase	Decrease
YBL011W	0.383140961128	0.0215907220803	Increase	Increase
YBL013W	0.789429227591	-0.579038687923	Increase	Decrease
YBL014C	1.02494637994	0.929823078758	Increase	Increase
YBL015W	-0.474699856732	0.612220825246	Decrease	Increase
YBL016W	-1.06465216745	-0.736610529587	Decrease	Decrease
YBL017C	0.7162046134	-1.15037917154	Increase	Decrease
YBL018C	0.939798171153	-1.09893406473	Increase	Decrease
YBL019W	-0.0223463623731	0.458834053306	Decrease	Increase
YBL020W	0.60788615589	-0.120818848804	Increase	Decrease
YBL021C	0.229933156748	-1.09763753358	Increase	Decrease
YBL022C	0.218997567032	-0.52470320588	Increase	Decrease
YBL023C	0.467186157642	-0.258866150858	Increase	Decrease
YBL024W	1.1219336564	-0.654889161661	Increase	Decrease
YBL025W	-0.402268336059	0.389886491948	Decrease	Increase
YBL026W	-0.227304613291	0.591548618836	Decrease	Increase
YBL027W	0.290998046324	-0.431628241043	Increase	Decrease
YBL028C	0.777669990765	-0.249046544198	Increase	Decrease
YBL029C-A	-1.64549422047	0.484193489171	Decrease	Increase
YBL029W	0.46444749845	0.345748415881	Increase	Increase
YBL030C	0.489194397541	-0.164075797217	Increase	Decrease
YBL031W	0.112466280894	0.156197073178	Increase	Increase
YBL032W	-0.242029118367	-0.512365978716	Decrease	Decrease
YBL033C	-0.579253216894	0.533800064768	Decrease	Increase
YBL042C	1.19742212459	-1.48021214152	Increase	Decrease
YBL043W	4.33890166471	-1.27829960136	Increase	Decrease
YBL044W	0.209597629293	-0.257671260853	Increase	Decrease
YBL045C	0.528134579831	-0.204178982978	Increase	Decrease
YBL046W	-0.612739352448	0.30115590491	Decrease	Increase
YBL047C	0.133580869177	-0.530218555861	Increase	Decrease
YBL049W	-0.351499448469	0.413339309909	Decrease	Increase
YBL050W	-0.817002749979	-0.384770289143	Decrease	Decrease
YBL051C	0.731022305798	-0.935158767564	Increase	Decrease
YBL052C	-0.712939991989	0.588830563904	Decrease	Increase
YBL054W	1.75016979282	-0.291582792533	Increase	Decrease
YBL056W	0.168783545827	0.0503483501613	Increase	Increase
YBL057C	0.195630084877	0.264942828211	Increase	Increase
YBL058W	-0.306631241474	0.223565025056	Decrease	Increase
