	expression_lfc	efficiency_lfc	d_expression	d_efficiency
YAL021C	1.24877046192	-0.990603833674	Increase	Decrease
YAL023C	0.604339459522	-1.06116946988	Increase	Decrease
YAL035W	1.60870727832	-1.50883425822	Increase	Decrease
YBL005W	-1.19227408356	1.4962432122	Decrease	Increase
YBL017C	0.7162046134	-1.15037917154	Increase	Decrease
YBL042C	1.19742212459	-1.48021214152	Increase	Decrease
YBL076C	0.919303993453	-1.08488593608	Increase	Decrease
YBL101C	1.07780837415	-1.70803213679	Increase	Decrease
YBR018C	-1.30532571501	4.95071924498	Decrease	Increase
YBR033W	1.08221185203	-4.38108784499	Increase	Decrease
YBR036C	0.6482894586	-0.954233418076	Increase	Decrease
YBR084W	1.60249606073	-0.865646458997	Increase	Decrease
YBR088C	1.25549283269	-1.07848878377	Increase	Decrease
YBR092C	-2.6886158616	-2.98794626781	Decrease	Decrease
YBR121C	0.680483336735	-0.916411893976	Increase	Decrease
YBR127C	0.392362409619	-1.03795588976	Increase	Decrease
YBR132C	-1.15942321239	-4.36614254752	Decrease	Decrease
YBR148W	1.05389190646	-4.33269042466	Increase	Decrease
YBR165W	-1.0331450703	1.65831478999	Decrease	Increase
YBR203W	-0.915527290539	2.54041150519	Decrease	Increase
YBR208C	-0.708635889461	-2.4178869785	Decrease	Decrease
YBR214W	-2.48103942804	1.58731592563	Decrease	Increase
YCL004W	-0.670428962064	2.12022989133	Decrease	Increase
YCL005W-A	0.996123009227	-2.68289822465	Increase	Decrease
YCL037C	2.24701409114	-2.04353571596	Increase	Decrease
YCL040W	-3.28240303649	1.78121709711	Decrease	Increase
YCL064C	-4.1493958415	-1.31335329796	Decrease	Decrease
YCR005C	-0.938454236613	-2.02690844393	Decrease	Decrease
YCR017C	0.652766566726	-0.832591795641	Increase	Decrease
YCR021C	-1.61569717402	-2.9838072105	Decrease	Decrease
YCR024C-B	-4.43384228777	10.5535579563	Decrease	Increase
YCR073C	-1.13445005024	3.38070581779	Decrease	Increase
YDL054C	-0.610027269095	-1.88329336729	Decrease	Decrease
YDL055C	0.780832400026	-1.36297572253	Increase	Decrease
YDL066W	0.568697367281	-1.33019502956	Increase	Decrease
YDL112W	1.68400845166	-2.08329434578	Increase	Decrease
YDL126C	0.922870614098	-1.2086807898	Increase	Decrease
YDL148C	1.4653154909	-1.09924490765	Increase	Decrease
YDL160C	0.865563196342	-1.4704627334	Increase	Decrease
YDL171C	0.999042083818	-1.63082379544	Increase	Decrease
YDL185W	1.58652847048	-1.87591493806	Increase	Decrease
YDL192W	-0.938788831911	-1.26996486625	Decrease	Decrease
YDL197C	-1.07948140109	3.23138879735	Decrease	Increase
YDL231C	1.10075224159	5.36400030524	Increase	Increase
YDR019C	-0.989889299409	-1.22211293195	Decrease	Decrease
YDR028C	0.680231661318	-1.1763951794	Increase	Decrease
YDR046C	1.36180456379	-1.66231366427	Increase	Decrease
YDR074W	-1.98202225439	1.16914231496	Decrease	Increase
YDR097C	1.27893783322	-1.52488663432	Increase	Decrease
YDR127W	0.997523704779	-0.895560602931	Increase	Decrease
YDR171W	-1.87917757251	1.3116500788	Decrease	Increase
YDR213W	0.850475938575	-1.54037216339	Increase	Decrease
YDR226W	0.755513124654	-1.07036303158	Increase	Decrease
YDR232W	2.25771544038	-1.24635772758	Increase	Decrease
YDR238C	0.764694578554	-0.872806007021	Increase	Decrease
YDR285W	-0.946868329001	-4.44922659654	Decrease	Decrease
YDR301W	0.693899277778	-1.18349267138	Increase	Decrease
YDR309C	0.903827465089	-1.61828139521	Increase	Decrease
YDR341C	0.942919222781	-0.870667495573	Increase	Decrease
YDR356W	1.14466327836	-1.7650470473	Increase	Decrease
YDR382W	1.01327316203	-1.47240469277	Increase	Decrease
YDR395W	1.17263966505	-0.901777122048	Increase	Decrease
YDR457W	0.579603841164	-1.03367107887	Increase	Decrease
YDR502C	1.51731709775	-1.11095518884	Increase	Decrease
YEL026W	1.03808266477	-0.864476167294	Increase	Decrease
YEL031W	0.935467010775	-1.20606708391	Increase	Decrease
